uidA	uidB	aliasA	aliasB	method	author	pmids	taxa	taxb	interactionType	sourceDB	confidence	numParticipants	GeneNameA	GeneNameB
851136	854020	CDC73	CTR9	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CDC73	CTR9
854020	851136	CTR9	CDC73	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CTR9	CDC73
851136	854290	CDC73	LEO1	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CDC73	LEO1
854290	851136	LEO1	CDC73	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	LEO1	CDC73
851136	852582	CDC73	PAF1	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CDC73	PAF1
852582	851136	PAF1	CDC73	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	PAF1	CDC73
851136	854933	CDC73	POB3	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CDC73	POB3
854933	851136	POB3	CDC73	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	POB3	CDC73
851136	852607	CDC73	RTF1	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CDC73	RTF1
852607	851136	RTF1	CDC73	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	RTF1	CDC73
851136	852665	CDC73	SPT16	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CDC73	SPT16
852665	851136	SPT16	CDC73	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	SPT16	CDC73
856911	854776	CHD1	CKA1	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CHD1	CKA1
854776	856911	CKA1	CHD1	Affinity Capture-MS	Krogan NJ (2004)	pubmed:14759368	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	BIOGRID	-	2	CKA1	CHD1
