uidA	uidB	aliasA	aliasB	method	author	pmids	taxa	taxb	interactionType	sourcedb	confidence	numParticipants	GeneNameA	GeneNameB
Q06706	Q02884	IKI3	ELP4	MI:0004(affinity chromatography technology)	Krogan NJ (2001)	pubmed:11689709	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:8671|lpr:8|np:8	2	IKI3	ELP4
Q06706	Q04868	IKI3	ELP6	MI:0004(affinity chromatography technology)	Krogan NJ (2001)	pubmed:11689709	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:8671|lpr:8|np:5	2	IKI3	ELP6
Q06706	P42935	IKI3	ELP2	MI:0004(affinity chromatography technology)	Jablonowski D (2004)	pubmed:14718557	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:10274|lpr:5|np:15	2	IKI3	ELP2
Q06706	P42935	IKI3	ELP2	MI:0004(affinity chromatography technology)	Fichtner L (2002)	pubmed:11929532	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:10274|lpr:5|np:15	2	IKI3	ELP2
Q06706	P40150	IKI3	SSB2	MI:0401(biochemical)	Willmund F (2013)	pubmed:23332755	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:21614|lpr:1952|np:2	2	IKI3	SSB2
P10591	Q06706	SSA1	IKI3	MI:0004(affinity chromatography technology)	Gong Y (2009)	pubmed:19536198	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:21614|lpr:21614|np:1	2	SSA1	IKI3
Q05027	Q06706	TAF9	IKI3	MI:0004(affinity chromatography technology)	Sanders SL (2002)	pubmed:12052880	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:371|lpr:371|np:1	2	TAF9	IKI3
Q06706	Q02908	IKI3	ELP3	MI:0004(affinity chromatography technology)	Krogan NJ (2001)	pubmed:11689709	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:8818|lpr:4|np:12	2	IKI3	ELP3
Q06706	P38874	IKI3	IKI1	MI:0004(affinity chromatography technology)	Krogan NJ (2001)	pubmed:11689709	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:8818|lpr:4|np:11	2	IKI3	IKI1
Q06706	P34253	IKI3	KTI12	MI:0004(affinity chromatography technology)	Frohloff F (2001)	pubmed:11296232	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	hpr:8|lpr:4|np:4	2	IKI3	KTI12
