Uniprot-ID	Biogrid-ID	Gene-Name	Ref-Seq	Protein-Name	Gene-ID	Old-Uniprot-IDs	Isoformes
P38631	31604;	FKS1	NP_013446	FKS1	YLR342W	D6VYY0;Q53YZ4;Q6TKS9;Q6TKT0;	0
P40989	33277;	GSC2	NP_011546	FKS2	YGR032W	D6VUG8;Q45U52;	0
P22147	33080;	XRN1	NP_011342	XRN1	YGL173C	D6VTX9;	0
P33302	34549;	PDR5	NP_014796	PDR5	YOR153W	D6W2L0;	0
Q03834	32152;	MSH6	NP_010382	MSH6	YDR097C	D6VS82;	0
P08539	36430;	GPA1	NP_011868	GPA1	YHR005C	D3DKU8;	0
P06169	31319;	PDC1	NP_013145	PDC1	YLR044C	D6VY46;O00042;Q07991;Q12682;Q12686;Q12687;	0
P12904	33136;	SNF4	NP_011400	AAKG	YGL115W	D6VU32;	0
P25847	34312;	MSH2	NP_014551	MSH2	YOL090W	D6W1X8;Q12423;	0
P02994	36251;	TEF1	NP_009676	EF1A	YPR080W	D6VQB6;Q7Z7U8;Q7Z8Q8;Q7Z8Q9;	0
P06782	32529;	SNF1	NP_010765	SNF1	YDR477W	D6VTA0;	0
P41277	34937;	GPP1	NP_012211	GPP1	YIL053W	D6VVM8;P38012;	0
P28240	36807;	ICL1	NP_010987	ACEA	YER065C	D3DLX0;	0
P32485	31384;	HOG1	NP_013214	HOG1	YLR113W	D6VYB1;Q06232;Q12294;	0
P53104	33074;	ATG1	NP_011335	ATG1	YGL180W	D6VTX3;	0
P46946	33078;	SAE2	NP_011340	COM1	YGL175C	D6VTX7;	0
P38766	36462;	RRM3	NP_011896	RRM3	YHR031C	D3DKX8;	0
P39013	35739;	END3	NP_014315	END3	YNL084C	D6W195;Q8TFC4;Q8TFD0;Q8TG51;	0
P32791	31482;	FRE1	NP_013315	FRE1	YLR214W	D6VYL5;	0
P31378	31751;	NTG1	NP_009387	NTH1	YAL015C	D6VPK3;	0
P32478	33601;	HSP150	NP_012376	HS150	YJL159W	B6RI02;B6RI03;B6RI04;D6VW28;P47000;Q03179;Q6VXX4;Q86ZT2;	0
Q03497	36419;	STE20	NP_011856	STE20	YHL007C	D3DKQ8;	0
P32944	33575;	SWE1	NP_012348	SWE1	YJL187C	D6VW03;	0
P47001	33602;	CIS3	NP_012377	CIS3	YJL158C	D6VW29;	0
P10081	34190;	TIF1	NP_012397	IF4A	YKR059W	D6VW46;	0
P19145	34171;	GAP1	NP_012965	GAP1	YKR039W	D6VXA2;	0
P53296	33429;	ATF2	NP_011693	ATF2	YGR177C	D6VUW1;E9P955;	0
P38182	32625;	ATG8	NP_009475	ATG8	YBL078C	D6VPS5;	0
Q03153	35273;	ATP25	NP_013816	ATP25	YMR098C	D6VZS1;	0
Q12165	32050;	ATP16	NP_010280	ATPD	YDL004W	D6VRY4;	0
P39981	36665;	AVT2	NP_010850	AVT2	YEL064C	D3DLI6;Q2VQX2;	0
P38176	32615;	AVT5	NP_009464	AVT5	YBL089W	D6VPR5;	0
P40471	34867;	AYR1	NP_012142	AYR1	YIL124W	D6VVG3;	0
Q8TGM7	NA	ART2	NA	ART2	YLR154W-A	NA	0
P53895	35670;	ASI2	NP_014240	ASI2	YNL159C	D6W124;	0
Q07879	31271;	ATG10	NP_013058	ATG10	YLL042C	D6VXW4;	0
Q06628	36357;	ATG13	NP_015511	ATG13	YPR185W	D6W4I5;	0
P40344	35832;	ATG3	NP_014404	ATG3	YNR007C	D6W1I2;	0
P21306	35942;	ATP15	NP_015052	ATP5E	YPL271W	D6W399;	0
P61829	34780;	OLI1	NP_009319	ATP9	Q0130	A0A0A7P075;P00841;Q37750;	0
Q12675	32150;	DNF2	NP_010378	ATC4	YDR093W	D6VS80;	0
P16639	33229;	ATE1	NP_011498	ATE1	YGL017W	D6VUC0;	0
Q03818	35336;	ATG16	NP_013882	ATG16	YMR159C	D6VZY1;	0
P53855	35597;	ATG2	NP_014157	ATG2	YNL242W	D6W0V1;	0
P40458	34846;	ATG32	NP_012120	ATG32	YIL146C	D6VVE1;	0
Q12292	34319;	ATG34	NP_014558	ATG34	YOL083W	D6W1Y5;	0
Q12048	35912;	ATG41	NP_015073	ATG41	YPL250C	D6W3C0;	0
Q12380	36034;	ATG5	NP_015176	ATG5	YPL149W	D6W3M0;	0
P32907	35828;	ATO2	NP_014399	ATO2	YNR002C	D6W1H8;	0
P18496	31652;	ATP10	NP_013497	ATP10	YLR393W	D6VZ28;Q06020;	0
P81451	34324;	ATP19	NP_014564	ATP19	YOL077W-A	D6W1Z0;	0
P38077	32740;	ATP3	NP_009595	ATPG	YBR039W	D6VQ39;Q54AF5;Q76MT6;	0
Q06405	32436;	ATP17	NP_010665	ATPK	YDR377W	D6VT09;	0
P33204	34119;	ARC19	NP_012912	ARPC4	YKL013C	D6VXS3;	0
Q06541	31509;	ARV1	NP_013343	ARV1	YLR242C	D6VYP0;Q2VQX3;	0
P40353	34759;	ATF1	NP_015022	ATF1	YOR377W	D6W370;Q08901;	0
P35193	34320;	ATG19	NP_014559	ATG19	YOL082W	D6W1Y6;Q6B1A6;	0
Q02887	36080;	ATG21	NP_015225	ATG21	YPL100W	D6W3R6;	0
P25568	30945;	ATG22	NP_009892	ATG22	YCL038C	D6VQX7;	0
P48016	36203;	ATH1	NP_015351	ATH1	YPR026W	D6W436;	0
P40416	35481;	ATM1	NP_014030	ATM1	YMR301C	D6W0C8;	0
P38110	32616;	TEL1	NP_009465	ATM	YBL088C	D6VPR6;	0
P13587	32095;	ENA1	NP_010325	ATN1	YDR040C	D6VS28;	0
Q12691	32093;	ENA5	NP_010323	ATN5	YDR038C	D6VS26;E9PAF4;P89901;	0
Q12359	32445;	ATO3	NP_010672	ATO3	YDR384C	D6VT18;	0
P81450	35059;	ATP18	NP_013629	ATP18	YML081C-A	D6W0K1;	0
