aliasA	method	aliasB	uidA	uidB	pmid	taxA	taxB	interactionType	sourceBD	GeneNameA	GeneNameB	NbPmids
elp1_yeast	psi-mi:MI:0071(molecular sieving)	elp2_yeast	Q06706	P42935	pubmed:16429126|pubmed:11689709|imex:IM-19720|pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091|pubmed:11435442|imex:IM-19719|pubmed:15138274|imex:IM-19261|pubmed:11805826|pubmed:15044803|pubmed:14718557|pubmed:11929532|pubmed:10777588	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	IKI3	ELP2	15
elp1_yeast	psi-mi:MI:0071(molecular sieving)	elp3_yeast	Q06706	Q02908	pubmed:16429126|pubmed:11689709|imex:IM-19720|pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091|pubmed:11435442|imex:IM-19719|pubmed:15138274|imex:IM-19261|pubmed:11805826|pubmed:15044803	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	IKI3	ELP3	12
elp1_yeast	psi-mi:MI:0071(molecular sieving)	elp4_yeast	Q06706	Q02884	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091|pubmed:11689709|imex:IM-19720|pubmed:15138274|imex:IM-19261|pubmed:11435442|imex:IM-19719|pubmed:15044803|pubmed:11805826	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	IKI3	ELP4	11
elp1_yeast	psi-mi:MI:0071(molecular sieving)	elp5_yeast	Q06706	P38874	pubmed:16429126|pubmed:11689709|imex:IM-19720|pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091|pubmed:11435442|imex:IM-19719|pubmed:15138274|imex:IM-19261|pubmed:11805826|pubmed:15044803|pubmed:11296232|pubmed:16554755	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	IKI3	IKI1	14
elp1_yeast	psi-mi:MI:0071(molecular sieving)	elp6_yeast	Q06706	Q04868	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091|pubmed:11435442|imex:IM-19719|pubmed:11689709|imex:IM-19720|pubmed:15138274|imex:IM-19261|pubmed:15044803	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	IKI3	ELP6	10
IKI3	MI:0401(biochemical)	SSB2	Q06706	P40150	pubmed:23332755	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	IKI3	SSB2	1
IKI3	MI:0004(affinity chromatography technology)	KTI12	Q06706	P34253	pubmed:11296232	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	IKI3	KTI12	1
IKI3	MI:0004(affinity chromatography technology)	KTI11	Q06706	Q3E840	pubmed:16554755|imex:IM-15332|mint:MINT-5218454|pubmed:12940988	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	IKI3	KTI11	4
IKI3	MI:0401(biochemical)	RPO21	Q06706	P04050	pubmed:10024884	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	IKI3	RPO21	1
IKI3	MI:0018(two hybrid)	MFA1	Q06706	P34165	pubmed:11283351	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	mpact	IKI3	MFA1	1
