aliasA	method	aliasB	uidA	uidB	pmid	taxA	taxB	interactionType	sourceBD	GeneNameA	GeneNameB	NbPmids
IKI3	-	ELP4	Q06706	Q02884	pubmed:11689709|pubmed:15044803|pubmed:11805826	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	bind	IKI3	ELP4	3
IKI3	-	ELP6	Q06706	Q04868	pubmed:11689709|pubmed:15044803	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	bind	IKI3	ELP6	2
IKI3	-	ELP2	Q06706	P42935	pubmed:11689709|pubmed:11805826|pubmed:15044803|pubmed:14718557|pubmed:11929532|pubmed:10777588	-	taxid:559292(Saccharomyces cerevisiae S288C)	physical	bind	IKI3	ELP2	6
IKI3	-	ELP3	Q06706	Q02908	pubmed:11689709|pubmed:11805826|pubmed:15044803	-	taxid:559292(Saccharomyces cerevisiae S288C)	physical	bind	IKI3	ELP3	3
IKI3	-	IKI1	Q06706	P38874	pubmed:11805826|pubmed:15044803|pubmed:11689709|pubmed:11296232|pubmed:16554755	-	taxid:559292(Saccharomyces cerevisiae S288C)	physical	bind	IKI3	IKI1	5
IKI3	MI:0401(biochemical)	SSB2	Q06706	P40150	pubmed:23332755	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	IKI3	SSB2	1
IKI3	MI:0004(affinity chromatography technology)	KTI12	Q06706	P34253	pubmed:11296232	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	IKI3	KTI12	1
IKI3	MI:0004(affinity chromatography technology)	KTI11	Q06706	Q3E840	pubmed:12940988	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	IKI3	KTI11	1
IKI3	MI:0401(biochemical)	RPO21	Q06706	P04050	pubmed:10024884	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	biogrid	IKI3	RPO21	1
IKI3	MI:0018(two hybrid)	MFA1	Q06706	P34165	pubmed:11283351	taxid:559292(Saccharomyces cerevisiae S288C)	taxid:559292(Saccharomyces cerevisiae S288C)	physical	mpact	IKI3	MFA1	1
