uidA	uidB	aliasA	aliasB	method	author	pmid	taxA	taxB	interactionType	sourceBD	confidence	numParticipants	GeneNameA	GeneNameB
P42935	P38147	ELP2	CHK1	Negative Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	CHK1
P42935	P38147	ELP2	CHK1	Negative Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	CHK1
P42935	Q02908	ELP2	ELP3	Positive Genetic	Fiedler D (2009)	pubmed:19269370	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	ELP3
P42935	P61830	ELP2	NA	Synthetic Growth Defect	Kong SE (2005)	pubmed:15563457	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	HHT1
Q02908	Q3E840	ELP3	DPH3	Synthetic Growth Defect	Fichtner L (2002)	pubmed:11994165	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	KTI11
Q02908	P46974	ELP3	RSF2	Negative Genetic	Bandyopadhyay S (2010)	pubmed:21127252	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	RSF2
Q02908	P11747	ELP3	TAF13	Negative Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	TAF13
Q02884	Q01649	ELP4	CIK1	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP4	CIK1
Q02884	P42935	ELP4	ELP2	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP4	ELP2
Q04868	Q01649	ELP6	CIK1	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP6	CIK1
