uidA	uidB	aliasA	aliasB	method	author	pmids	taxa	taxb	interactionType	sourcedb	confidence	numParticipants	GeneNameA	GeneNameB
Q03330	Q06706	gcn5_yeast	elp1_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Lee et al. (2011)	imex:IM-15346|pubmed:21734642	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.35	2	GCN5	IKI3
P35177	Q06706	spt7_yeast	elp1_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Lee et al. (2011)	imex:IM-15346|pubmed:21734642	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.35	2	SPT7	IKI3
Q03330	Q06706	gcn5_yeast	elp1_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Lee et al. (2011)	imex:IM-15346|pubmed:21734642	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.35	2	GCN5	IKI3
Q04868	P42935	elp6_yeast	elp2_yeast	psi-mi:"MI:0096"(pull down)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.56	2	ELP6	ELP2
Q02884	P38874	elp4_yeast	elp5_yeast	psi-mi:"MI:0020"(transmission electron microscopy)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.92	2	ELP4	IKI1
Q06706	P42935	elp1_yeast	elp2_yeast	psi-mi:"MI:0071"(molecular sieving)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.95	2	IKI3	ELP2
Q06706	Q02908	elp1_yeast	elp3_yeast	psi-mi:"MI:0071"(molecular sieving)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	IKI3	ELP3
Q06706	Q02884	elp1_yeast	elp4_yeast	psi-mi:"MI:0071"(molecular sieving)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	IKI3	ELP4
Q06706	P38874	elp1_yeast	elp5_yeast	psi-mi:"MI:0071"(molecular sieving)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	IKI3	IKI1
Q06706	Q04868	elp1_yeast	elp6_yeast	psi-mi:"MI:0071"(molecular sieving)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.84	2	IKI3	ELP6
Q02884	P38874	elp4_yeast	elp5_yeast	psi-mi:"MI:0020"(transmission electron microscopy)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.92	2	ELP4	IKI1
Q02884	Q04868	elp4_yeast	elp6_yeast	psi-mi:"MI:0020"(transmission electron microscopy)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.90	2	ELP4	ELP6
Q04868	Q02908	elp6_yeast	elp3_yeast	psi-mi:"MI:0096"(pull down)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.74	2	ELP6	ELP3
Q02884	Q06706	elp4_yeast	elp1_yeast	psi-mi:"MI:0096"(pull down)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	ELP4	IKI3
Q04868	Q02884	elp6_yeast	elp4_yeast	psi-mi:"MI:0096"(pull down)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.90	2	ELP6	ELP4
Q02884	P38874	elp4_yeast	elp5_yeast	psi-mi:"MI:0114"(x-ray crystallography)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.92	2	ELP4	IKI1
Q02884	Q04868	elp4_yeast	elp6_yeast	psi-mi:"MI:0114"(x-ray crystallography)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.90	2	ELP4	ELP6
Q02884	Q06706	elp4_yeast	elp1_yeast	psi-mi:"MI:0096"(pull down)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	ELP4	IKI3
Q04868	Q06706	elp6_yeast	elp1_yeast	psi-mi:"MI:0096"(pull down)	Glatt et al. (2012)	pubmed:22343726|doi:10.1038/nsmb.2234|imex:IM-18091	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.84	2	ELP6	IKI3
P42935	P10592	elp2_yeast	hsp72_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.35	2	ELP2	SSA2
P42935	Q06706	elp2_yeast	elp1_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.95	2	ELP2	IKI3
P42935	P38874	elp2_yeast	elp5_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.75	2	ELP2	IKI1
P42935	Q02884	elp2_yeast	elp4_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.81	2	ELP2	ELP4
P42935	Q02908	elp2_yeast	elp3_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.86	2	ELP2	ELP3
Q02908	Q02884	elp3_yeast	elp4_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.80	2	ELP3	ELP4
Q02908	P38874	elp3_yeast	elp5_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.81	2	ELP3	IKI1
Q02908	P29295	elp3_yeast	hrr25_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.53	2	ELP3	HRR25
Q02908	Q04868	elp3_yeast	elp6_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.74	2	ELP3	ELP6
Q02908	P42935	elp3_yeast	elp2_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.86	2	ELP3	ELP2
Q02908	P10592	elp3_yeast	hsp72_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.53	2	ELP3	SSA2
Q02908	P34253	elp3_yeast	kti12_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.53	2	ELP3	KTI12
Q02908	Q06706	elp3_yeast	elp1_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	ELP3	IKI3
P38874	P10591	elp5_yeast	hsp71_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.35	2	IKI1	SSA1
P38874	Q06706	elp5_yeast	elp1_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	IKI1	IKI3
P38874	Q02884	elp5_yeast	elp4_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.92	2	IKI1	ELP4
P38874	Q02908	elp5_yeast	elp3_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.81	2	IKI1	ELP3
P38874	P42935	elp5_yeast	elp2_yeast	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.75	2	IKI1	ELP2
Q04868	P06774	elp6_yeast	hap2_yeast	psi-mi:"MI:0018"(two hybrid)	Uetz et al. (2000)	pubmed:10688190|mint:MINT-5212268	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.37	2	ELP6	HAP2
Q06706	Q02908	elp1_yeast	elp3_yeast	psi-mi:"MI:0091"(chromatography technology)	Winkler et al. (2001)	pubmed:11435442|imex:IM-19719	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	IKI3	ELP3
Q06706	Q04868	elp1_yeast	elp6_yeast	psi-mi:"MI:0091"(chromatography technology)	Winkler et al. (2001)	pubmed:11435442|imex:IM-19719	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.84	2	IKI3	ELP6
Q06706	P42935	elp1_yeast	elp2_yeast	psi-mi:"MI:0091"(chromatography technology)	Winkler et al. (2001)	pubmed:11435442|imex:IM-19719	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.95	2	IKI3	ELP2
Q06706	P38874	elp1_yeast	elp5_yeast	psi-mi:"MI:0091"(chromatography technology)	Winkler et al. (2001)	pubmed:11435442|imex:IM-19719	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	IKI3	IKI1
Q06706	Q02884	elp1_yeast	elp4_yeast	psi-mi:"MI:0091"(chromatography technology)	Winkler et al. (2001)	pubmed:11435442|imex:IM-19719	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.94	2	IKI3	ELP4
Q06706	P42935	elp1_yeast	elp2_yeast	psi-mi:"MI:0071"(molecular sieving)	Winkler et al. (2001)	pubmed:11435442|imex:IM-19719	taxid:559292(Saccharomyces cerevisiae)	taxid:559292(Saccharomyces cerevisiae)	physical	Intact	intact-miscore:0.95	2	IKI3	ELP2
